variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,15615401,238.27210998535156,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,15407847,235.10508728027344,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,16584390,253.05770874023438,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17429742,265.95675659179688,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,16950587,258.64543151855469,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17197342,262.41061401367188,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,16900729,257.88465881347656,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,15712164,239.74859619140625,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,16325626,249.10928344726562,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,16071809,245.23634338378906,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,16334111,249.23875427246094,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,16278963,248.39726257324219,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,15316223,233.70701599121094,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,16730731,255.29069519042969,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,17431590,33.248119354248047,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,1,524288,17781818,33.916126251220703,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,2,524288,16831076,32.102729797363281,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,3,524288,17107928,32.630783081054688,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,4,524288,16591522,31.645816802978516,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,5,524288,16041770,30.597248077392578,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,6,524288,16260960,31.01531982421875,0.92307627201080322
manual_avx2,x86_64,Release,measurement,256,0,524288,10387429,19.812448501586914,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,10392333,19.821802139282227,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,10298556,19.642936706542969,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,524288,10444080,19.920501708984375,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,524288,10112208,19.287506103515625,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,524288,10556321,20.134584426879883,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,524288,10407581,19.850885391235352,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,16384,17719310,1081.5008544921875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,16384,17786129,1085.5791625976562,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,16384,17519474,1069.3038330078125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,16384,18045161,1101.3892211914062,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,16384,17660776,1077.92822265625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,5,16384,17367631,1060.0360717773438,1.0209832191467285
scalar,x86_64,Release,measurement,1024,6,16384,17599521,1074.1895141601562,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,0,16384,17531816,1070.05712890625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,1,16384,17790333,1085.8357543945312,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,2,16384,17876026,1091.0660400390625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,3,16384,17862258,1090.2257080078125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,4,16384,17865524,1090.425048828125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,5,16384,19169291,1170.0006713867188,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,6,16384,16776066,1023.9298095703125,1.0209832191467285
compiler_reassociated,x86_64,Release,measurement,1024,0,131072,17418875,132.89546966552734,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,1,131072,17111022,130.54673767089844,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,2,131072,17334698,132.25325012207031,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,3,131072,17361475,132.45754241943359,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,4,131072,17947227,136.92647552490234,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,5,131072,18076004,137.90896606445312,1.0209778547286987
compiler_reassociated,x86_64,Release,measurement,1024,6,131072,18197966,138.83946228027344,1.0209778547286987
manual_avx2,x86_64,Release,measurement,1024,0,131072,10624618,81.059402465820312,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,1,131072,9848907,75.141197204589844,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,2,131072,9534332,72.741180419921875,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,3,131072,9440063,72.021965026855469,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,4,131072,9402409,71.734687805175781,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,5,131072,10147334,77.418014526367188,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,6,131072,10937540,83.446807861328125,1.0209798812866211
scalar,x86_64,Release,measurement,4096,0,4096,17514484,4275.9970703125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,1,4096,17920354,4375.08642578125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,2,4096,17551824,4285.11328125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,3,4096,17696264,4320.376953125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,4,4096,17450456,4260.365234375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,5,4096,17278357,4218.348876953125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,6,4096,16864875,4117.401123046875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,0,4096,16782328,4097.248046875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,1,4096,16310610,3982.08251953125,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,2,4096,17131848,4182.580078125,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,3,4096,18177447,4437.853271484375,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,4,4096,17077050,4169.20166015625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,5,4096,16295770,3978.45947265625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,6,4096,16698438,4076.76708984375,-1.7132706642150879
compiler_reassociated,x86_64,Release,measurement,4096,0,32768,19795940,604.1241455078125,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,1,32768,19785144,603.794677734375,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,2,32768,19754132,602.8482666015625,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,3,32768,19528840,595.972900390625,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,4,32768,19420470,592.66571044921875,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,5,32768,19649836,599.6654052734375,-1.7132910490036011
compiler_reassociated,x86_64,Release,measurement,4096,6,32768,19763915,603.14682006835938,-1.7132910490036011
manual_avx2,x86_64,Release,measurement,4096,0,32768,10897919,332.57809448242188,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,1,32768,10806939,329.80160522460938,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,2,32768,11220833,342.43264770507812,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,3,32768,10938479,333.81588745117188,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,4,32768,10774494,328.81146240234375,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,5,32768,10706757,326.74429321289062,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,6,32768,10144003,309.57040405273438,-1.7132848501205444
scalar,x86_64,Release,measurement,16384,0,1024,16515110,16128.037109375,0.89516866207122803
scalar,x86_64,Release,measurement,16384,1,1024,16105030,15727.568359375,0.89516866207122803
scalar,x86_64,Release,measurement,16384,2,1024,17052116,16652.45703125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,3,1024,18151654,17726.224609375,0.89516866207122803
scalar,x86_64,Release,measurement,16384,4,1024,18166821,17741.0361328125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,5,1024,17931831,17511.5537109375,0.89516866207122803
scalar,x86_64,Release,measurement,16384,6,1024,18056059,17632.8701171875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,0,1024,18385744,17954.828125,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,1,1024,18482445,18049.2626953125,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,2,1024,18399443,17968.2060546875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,3,1024,18244517,17816.9111328125,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,4,1024,18580696,18145.2109375,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,5,1024,17950427,17529.7138671875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,6,1024,17345945,16939.3994140625,0.89516866207122803
compiler_reassociated,x86_64,Release,measurement,16384,0,8192,20467570,2498.482666015625,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,1,8192,20319302,2480.383544921875,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,2,8192,20947646,2557.085693359375,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,3,8192,22257615,2716.9940185546875,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,4,8192,22019486,2687.925537109375,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,5,8192,22155963,2704.5853271484375,0.89508736133575439
compiler_reassociated,x86_64,Release,measurement,16384,6,8192,22293271,2721.3465576171875,0.89508736133575439
manual_avx2,x86_64,Release,measurement,16384,0,4096,10645974,2599.11474609375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,1,4096,10586652,2584.6318359375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,2,4096,10698665,2611.978759765625,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,3,4096,10606786,2589.54736328125,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,4,4096,10611834,2590.77978515625,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,5,4096,10629432,2595.076171875,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,6,4096,10577635,2582.430419921875,0.89510297775268555
scalar,x86_64,Release,measurement,65536,0,256,16591636,64811.078125,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,1,256,16703472,65247.9375,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,2,256,15952549,62314.64453125,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,3,256,17039662,66561.1796875,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,4,256,17137312,66942.625,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,5,256,16547585,64639.00390625,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,6,256,17222023,67273.52734375,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,0,256,19299250,75387.6953125,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,1,256,17652964,68956.890625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,2,256,17770741,69416.95703125,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,3,256,17742954,69308.4140625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,4,256,17692499,69111.32421875,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,5,256,18586402,72603.1328125,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,6,256,18590329,72618.47265625,-0.18156573176383972
compiler_reassociated,x86_64,Release,measurement,65536,0,1024,15522728,15158.9140625,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,1,1024,15388652,15027.98046875,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,2,1024,15611643,15245.7451171875,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,3,1024,15461779,15099.3935546875,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,4,1024,15553795,15189.2529296875,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,5,1024,15383053,15022.5126953125,-0.18188893795013428
compiler_reassociated,x86_64,Release,measurement,65536,6,1024,15306367,14947.6240234375,-0.18188893795013428
manual_avx2,x86_64,Release,measurement,65536,0,1024,15612010,15246.103515625,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,1,1024,15744142,15375.138671875,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,2,1024,15527386,15163.462890625,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,3,1024,15589883,15224.4951171875,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,4,1024,15626921,15260.6650390625,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,5,1024,16156358,15777.693359375,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,6,1024,15663390,15296.279296875,-0.18182754516601562
scalar,x86_64,Release,measurement,1048576,0,16,18180511,1136281.9375,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,1,16,16892773,1055798.3125,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,2,16,17503627,1093976.6875,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,3,16,16749584,1046849,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,4,16,17923304,1120206.5,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,5,16,19843154,1240197.125,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,6,16,21133258,1320828.625,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,0,16,19282879,1205179.9375,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,1,16,18494648,1155915.5,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,2,16,19291164,1205697.75,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,3,16,18055141,1128446.3125,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,4,16,17429647,1089352.9375,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,5,16,16804653,1050290.8125,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,6,16,17549131,1096820.6875,-0.12181839346885681
compiler_reassociated,x86_64,Release,measurement,1048576,0,64,16266215,254159.609375,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,1,64,17882952,279421.125,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,2,64,15667949,244811.703125,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,3,64,16325606,255087.59375,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,4,64,16108714,251698.65625,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,5,64,15940331,249067.671875,-0.12701523303985596
compiler_reassociated,x86_64,Release,measurement,1048576,6,64,16086096,251345.25,-0.12701523303985596
manual_avx2,x86_64,Release,measurement,1048576,0,64,15487745,241996.015625,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,1,64,16552724,258636.3125,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,2,64,16203294,253176.46875,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,3,64,15825046,247266.34375,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,4,64,15433327,241145.734375,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,5,64,14721545,230024.140625,-0.12603211402893066
