variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17652392,269.3541259765625,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17711471,270.25559997558594,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17649678,269.31271362304688,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17657109,269.42610168457031,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17688176,269.900146484375,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17670179,269.62553405761719,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17655647,269.40379333496094,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,16648120,254.0301513671875,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,16569781,252.83479309082031,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,16620048,253.601806640625,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,16565094,252.76327514648438,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,16588549,253.12117004394531,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,16556511,252.63230895996094,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,16659818,254.20864868164062,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,10307821,19.660608291625977,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,1,524288,10464879,19.960172653198242,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,2,524288,10290395,19.627370834350586,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,3,524288,10383516,19.804985046386719,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,4,524288,10299389,19.644525527954102,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,5,524288,10584851,20.189001083374023,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,6,524288,10493012,20.013832092285156,0.92307734489440918
manual_avx2,x86_64,Release,measurement,256,0,524288,10336945,19.716157913208008,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,10352079,19.745023727416992,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,10340310,19.722576141357422,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,524288,10338999,19.720075607299805,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,524288,10362074,19.764087677001953,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,524288,10353621,19.747964859008789,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,524288,10344707,19.730962753295898,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,8192,10169532,1241.39794921875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,8192,10173027,1241.8245849609375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,8192,10166087,1240.9774169921875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,8192,10183914,1243.153564453125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,8192,10183753,1243.1339111328125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,5,8192,10165937,1240.9591064453125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,6,8192,10165796,1240.94189453125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,0,16384,20000290,1220.7208251953125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,1,16384,19978617,1219.3980102539062,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,2,16384,19995804,1220.447021484375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,3,16384,19990595,1220.1290893554688,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,4,16384,19990556,1220.126708984375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,5,16384,20007792,1221.1787109375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,6,16384,19992258,1220.2305908203125,1.0209832191467285
compiler_reassociated,x86_64,Release,measurement,1024,0,131072,10303374,78.608505249023438,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,1,131072,10333270,78.836593627929688,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,2,131072,10342023,78.903373718261719,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,3,131072,10311788,78.672698974609375,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,4,131072,10317496,78.71624755859375,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,5,131072,10360511,79.044425964355469,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,6,131072,10301562,78.594680786132812,1.0209792852401733
manual_avx2,x86_64,Release,measurement,1024,0,262144,18920173,72.174732208251953,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,1,262144,19098734,72.855888366699219,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,2,262144,19215831,73.302577972412109,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,3,262144,19070441,72.747959136962891,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,4,262144,18982217,72.411411285400391,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,5,262144,18971311,72.369808197021484,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,6,262144,18973164,72.376876831054688,1.0209798812866211
scalar,x86_64,Release,measurement,4096,0,2048,10487404,5120.802734375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,1,2048,10484639,5119.45263671875,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,2,2048,10472651,5113.59912109375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,3,2048,10520844,5137.130859375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,4,2048,10485531,5119.88818359375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,5,2048,10475525,5115.00244140625,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,6,2048,10480443,5117.40380859375,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,0,2048,10408054,5082.0576171875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,1,2048,10403947,5080.05224609375,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,2,2048,10404127,5080.14013671875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,3,2048,10413031,5084.48779296875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,4,2048,10414373,5085.14306640625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,5,2048,10406581,5081.33837890625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,6,2048,10448074,5101.5986328125,-1.7132706642150879
compiler_reassociated,x86_64,Release,measurement,4096,0,32768,10380131,316.77645874023438,-1.7132861614227295
compiler_reassociated,x86_64,Release,measurement,4096,1,32768,10381854,316.82904052734375,-1.7132861614227295
compiler_reassociated,x86_64,Release,measurement,4096,2,32768,10345429,315.71743774414062,-1.7132861614227295
compiler_reassociated,x86_64,Release,measurement,4096,3,32768,10394833,317.22512817382812,-1.7132861614227295
compiler_reassociated,x86_64,Release,measurement,4096,4,32768,10349965,315.85586547851562,-1.7132861614227295
compiler_reassociated,x86_64,Release,measurement,4096,5,32768,10350206,315.86322021484375,-1.7132861614227295
compiler_reassociated,x86_64,Release,measurement,4096,6,32768,10382444,316.8470458984375,-1.7132861614227295
manual_avx2,x86_64,Release,measurement,4096,0,65536,19677521,300.25514221191406,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,1,65536,19582226,298.80105590820312,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,2,65536,19622197,299.41096496582031,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,3,65536,19540894,298.17037963867188,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,4,65536,19541324,298.17694091796875,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,5,65536,19509336,297.6888427734375,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,6,65536,19555476,298.39288330078125,-1.7132848501205444
scalar,x86_64,Release,measurement,16384,0,512,10521485,20549.775390625,0.89516866207122803
scalar,x86_64,Release,measurement,16384,1,512,10533494,20573.23046875,0.89516866207122803
scalar,x86_64,Release,measurement,16384,2,512,10527474,20561.47265625,0.89516866207122803
scalar,x86_64,Release,measurement,16384,3,512,10524440,20555.546875,0.89516866207122803
scalar,x86_64,Release,measurement,16384,4,512,10521766,20550.32421875,0.89516866207122803
scalar,x86_64,Release,measurement,16384,5,512,10543088,20591.96875,0.89516866207122803
scalar,x86_64,Release,measurement,16384,6,512,10519783,20546.451171875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,0,512,10511140,20529.5703125,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,1,512,10519161,20545.236328125,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,2,512,10511990,20531.23046875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,3,512,10515306,20537.70703125,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,4,512,10515195,20537.490234375,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,5,512,10535166,20576.49609375,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,6,512,10504960,20517.5,0.89516866207122803
compiler_reassociated,x86_64,Release,measurement,16384,0,8192,14328825,1749.1241455078125,0.89510858058929443
compiler_reassociated,x86_64,Release,measurement,16384,1,8192,14349827,1751.6878662109375,0.89510858058929443
compiler_reassociated,x86_64,Release,measurement,16384,2,8192,14334804,1749.85400390625,0.89510858058929443
compiler_reassociated,x86_64,Release,measurement,16384,3,8192,14321995,1748.2904052734375,0.89510858058929443
compiler_reassociated,x86_64,Release,measurement,16384,4,8192,14335406,1749.927490234375,0.89510858058929443
compiler_reassociated,x86_64,Release,measurement,16384,5,8192,14341354,1750.653564453125,0.89510858058929443
compiler_reassociated,x86_64,Release,measurement,16384,6,8192,14319671,1748.0067138671875,0.89510858058929443
manual_avx2,x86_64,Release,measurement,16384,0,8192,14161803,1728.7357177734375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,1,8192,14152027,1727.5423583984375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,2,8192,14148652,1727.13037109375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,3,8192,14145748,1726.77587890625,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,4,8192,14156384,1728.07421875,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,5,8192,14146119,1726.8211669921875,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,6,8192,14148351,1727.0936279296875,0.89510297775268555
scalar,x86_64,Release,measurement,65536,0,128,10549327,82416.6171875,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,1,128,10543508,82371.15625,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,2,128,10586103,82703.9296875,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,3,128,10548406,82409.421875,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,4,128,10547875,82405.2734375,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,5,128,10548756,82412.15625,-0.18156573176383972
