variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,arm64,Release,measurement,256,0,131072,14593667,111.34084320068359,0.92307782173156738
scalar,arm64,Release,measurement,256,1,131072,14868500,113.43765258789062,0.92307782173156738
scalar,arm64,Release,measurement,256,2,131072,14003541,106.83853912353516,0.92307782173156738
scalar,arm64,Release,measurement,256,3,131072,14185000,108.22296142578125,0.92307782173156738
scalar,arm64,Release,measurement,256,4,131072,13885041,105.93445587158203,0.92307782173156738
scalar,arm64,Release,measurement,256,5,131072,13876417,105.86865997314453,0.92307782173156738
scalar,arm64,Release,measurement,256,6,131072,14558542,111.07286071777344,0.92307782173156738
scalar,arm64,Release,measurement,1024,0,32768,18096958,552.27532958984375,1.0209832191467285
scalar,arm64,Release,measurement,1024,1,32768,17940416,547.498046875,1.0209832191467285
scalar,arm64,Release,measurement,1024,2,32768,18036042,550.41632080078125,1.0209832191467285
scalar,arm64,Release,measurement,1024,3,32768,18053334,550.94403076171875,1.0209832191467285
scalar,arm64,Release,measurement,1024,4,32768,18041833,550.59304809570312,1.0209832191467285
scalar,arm64,Release,measurement,1024,5,32768,17938666,547.44464111328125,1.0209832191467285
scalar,arm64,Release,measurement,1024,6,32768,18007375,549.54147338867188,1.0209832191467285
scalar,arm64,Release,measurement,4096,0,4096,10633084,2595.9677734375,-1.7132706642150879
scalar,arm64,Release,measurement,4096,1,4096,10602583,2588.521240234375,-1.7132706642150879
scalar,arm64,Release,measurement,4096,2,4096,10580375,2583.099365234375,-1.7132706642150879
scalar,arm64,Release,measurement,4096,3,4096,10645667,2599.039794921875,-1.7132706642150879
scalar,arm64,Release,measurement,4096,4,4096,10701125,2612.579345703125,-1.7132706642150879
scalar,arm64,Release,measurement,4096,5,4096,10594458,2586.53759765625,-1.7132706642150879
scalar,arm64,Release,measurement,4096,6,4096,10652625,2600.738525390625,-1.7132706642150879
scalar,arm64,Release,measurement,16384,0,1024,10728000,10476.5625,0.89516866207122803
scalar,arm64,Release,measurement,16384,1,1024,10679208,10428.9140625,0.89516866207122803
scalar,arm64,Release,measurement,16384,2,1024,10703084,10452.23046875,0.89516866207122803
scalar,arm64,Release,measurement,16384,3,1024,10784208,10531.453125,0.89516866207122803
scalar,arm64,Release,measurement,16384,4,1024,10645292,10395.79296875,0.89516866207122803
scalar,arm64,Release,measurement,16384,5,1024,10743500,10491.69921875,0.89516866207122803
scalar,arm64,Release,measurement,16384,6,1024,10855167,10600.7490234375,0.89516866207122803
scalar,arm64,Release,measurement,65536,0,256,10746292,41977.703125,-0.18156573176383972
scalar,arm64,Release,measurement,65536,1,256,10616416,41470.375,-0.18156573176383972
scalar,arm64,Release,measurement,65536,2,256,10690000,41757.8125,-0.18156573176383972
scalar,arm64,Release,measurement,65536,3,256,10678458,41712.7265625,-0.18156573176383972
scalar,arm64,Release,measurement,65536,4,256,10561250,41254.8828125,-0.18156573176383972
scalar,arm64,Release,measurement,65536,5,256,10538875,41167.48046875,-0.18156573176383972
scalar,arm64,Release,measurement,65536,6,256,10625667,41506.51171875,-0.18156573176383972
scalar,arm64,Release,measurement,1048576,0,16,11089209,693075.5625,-0.12181839346885681
scalar,arm64,Release,measurement,1048576,1,16,10604167,662760.4375,-0.12181839346885681
scalar,arm64,Release,measurement,1048576,2,16,10573625,660851.5625,-0.12181839346885681
scalar,arm64,Release,measurement,1048576,3,16,10682292,667643.25,-0.12181839346885681
scalar,arm64,Release,measurement,1048576,4,16,11024542,689033.875,-0.12181839346885681
scalar,arm64,Release,measurement,1048576,5,16,10678166,667385.375,-0.12181839346885681
scalar,arm64,Release,measurement,1048576,6,16,10582792,661424.5,-0.12181839346885681
