variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,arm64,Release,measurement,256,0,65536,12102375,184.66758728027344,0.92307782173156738
scalar,arm64,Release,measurement,256,1,65536,11029083,168.29045104980469,0.92307782173156738
scalar,arm64,Release,measurement,256,2,65536,9851583,150.32322692871094,0.92307782173156738
scalar,arm64,Release,measurement,256,3,65536,9724416,148.3828125,0.92307782173156738
scalar,arm64,Release,measurement,256,4,65536,8909209,135.94374084472656,0.92307782173156738
scalar,arm64,Release,measurement,256,5,65536,8066125,123.07929992675781,0.92307782173156738
scalar,arm64,Release,measurement,256,6,65536,7637375,116.53709411621094,0.92307782173156738
compiler_optimized,arm64,Release,measurement,256,0,262144,19461750,74.240684509277344,0.92307782173156738
compiler_optimized,arm64,Release,measurement,256,1,262144,19908459,75.944744110107422,0.92307782173156738
compiler_optimized,arm64,Release,measurement,256,2,262144,19534125,74.516773223876953,0.92307782173156738
compiler_optimized,arm64,Release,measurement,256,3,262144,19551125,74.581623077392578,0.92307782173156738
compiler_optimized,arm64,Release,measurement,256,4,262144,19382458,73.938209533691406,0.92307782173156738
compiler_optimized,arm64,Release,measurement,256,5,262144,19586833,74.717838287353516,0.92307782173156738
compiler_optimized,arm64,Release,measurement,256,6,262144,19350583,73.816616058349609,0.92307782173156738
scalar,arm64,Release,measurement,1024,0,32768,18484459,564.10092163085938,1.0209832191467285
scalar,arm64,Release,measurement,1024,1,32768,18460542,563.37103271484375,1.0209832191467285
scalar,arm64,Release,measurement,1024,2,32768,18518625,565.14358520507812,1.0209832191467285
scalar,arm64,Release,measurement,1024,3,32768,18797375,573.65036010742188,1.0209832191467285
scalar,arm64,Release,measurement,1024,4,32768,18803667,573.84237670898438,1.0209832191467285
scalar,arm64,Release,measurement,1024,5,32768,18646291,569.03964233398438,1.0209832191467285
scalar,arm64,Release,measurement,1024,6,32768,19021583,580.49264526367188,1.0209832191467285
compiler_optimized,arm64,Release,measurement,1024,0,32768,14396083,439.33358764648438,1.0209832191467285
compiler_optimized,arm64,Release,measurement,1024,1,32768,14775125,450.90103149414062,1.0209832191467285
