variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17559953,267.94361877441406,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17571129,268.11415100097656,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17573753,268.15419006347656,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17603378,268.60623168945312,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17573553,268.15113830566406,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17585872,268.339111328125,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17620393,268.86585998535156,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,17556838,267.89608764648438,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,17569146,268.08389282226562,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,17561876,267.97296142578125,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,17568225,268.06983947753906,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,17711530,270.25650024414062,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,17554915,267.86674499511719,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,17578450,268.22586059570312,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,10509686,20.045635223388672,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,1,524288,10515134,20.056026458740234,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,2,524288,10508755,20.043859481811523,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,3,524288,10440382,19.913448333740234,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,4,524288,10021402,19.114307403564453,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,5,524288,10008673,19.090028762817383,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,6,524288,10021392,19.114288330078125,0.92307698726654053
