variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17639933,269.16401672363281,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17645091,269.24272155761719,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17758222,270.96896362304688,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17667335,269.58213806152344,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17668807,269.60459899902344,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17641694,269.19088745117188,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17668154,269.59463500976562,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,16651797,254.08625793457031,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,16639279,253.89524841308594,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,16614181,253.51228332519531,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,16705920,254.912109375,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,16659039,254.19676208496094,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,16584827,253.06437683105469,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,16603515,253.34953308105469,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,10394230,19.825420379638672,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,1,524288,10452488,19.936538696289062,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,2,524288,10412207,19.859708786010742,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,3,524288,10450886,19.933483123779297,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,4,524288,10512669,20.051324844360352,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,5,524288,10399337,19.835161209106445,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,6,524288,10380319,19.798887252807617,0.92307734489440918
manual_avx2,x86_64,Release,measurement,256,0,524288,10023670,19.118633270263672,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,10156941,19.372827529907227,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,10133736,19.328567504882812,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,524288,10090070,19.245281219482422,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,524288,10083780,19.233283996582031,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,524288,10052604,19.173820495605469,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,524288,10053935,19.176359176635742,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,8192,10171122,1241.592041015625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,8192,10182360,1242.9638671875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,8192,10198444,1244.92724609375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,8192,10179385,1242.6007080078125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,8192,10194859,1244.4896240234375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,5,8192,10182670,1243.001708984375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,6,8192,10167036,1241.09326171875,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,0,8192,10009929,1221.9151611328125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,1,8192,9999544,1220.6474609375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,2,8192,10016339,1222.6976318359375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,3,8192,9990790,1219.578857421875,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,4,8192,9999003,1220.5814208984375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,5,8192,9994135,1219.9871826171875,1.0209832191467285
