variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,16804484,256.41607666015625,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,16904451,257.94145202636719,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17285316,263.75299072265625,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,16858009,257.23280334472656,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,16766027,255.82926940917969,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17219413,262.74739074707031,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,16279060,248.39874267578125,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,16238519,247.78013610839844,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,16713570,255.02883911132812,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,16645560,253.9910888671875,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,15647422,238.76071166992188,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,16037944,244.7196044921875,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,16734164,255.34307861328125,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,16420320,250.55419921875,0.92307782173156738
manual_avx2,x86_64,Release,measurement,256,0,524288,12116893,23.111139297485352,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,11544470,22.019329071044922,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,11826307,22.556890487670898,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,524288,12806709,24.426858901977539,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,524288,12450699,23.747823715209961,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,524288,12414855,23.67945671081543,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,524288,12288686,23.438808441162109,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,16384,17484540,1067.171630859375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,16384,17575062,1072.6966552734375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,16384,17599726,1074.2020263671875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,16384,17193718,1049.4212646484375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,16384,17307574,1056.3704833984375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,5,16384,17449156,1065.011962890625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,6,16384,17314887,1056.8168334960938,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,0,16384,17361282,1059.6485595703125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,1,16384,17775098,1084.9058837890625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,2,16384,16828427,1027.1256713867188,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,3,16384,16095489,982.39068603515625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,4,16384,17274766,1054.3680419921875,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,5,16384,17211243,1050.4909057617188,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,6,16384,17231543,1051.7299194335938,1.0209832191467285
manual_avx2,x86_64,Release,measurement,1024,0,131072,11320339,86.367332458496094,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,1,131072,11321023,86.372550964355469,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,2,131072,11677031,89.088676452636719,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,3,131072,11984952,91.43792724609375,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,4,131072,12019947,91.704917907714844,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,5,131072,11990471,91.480033874511719,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,6,131072,11794019,89.981224060058594,1.0209798812866211
scalar,x86_64,Release,measurement,4096,0,4096,17019639,4155.185302734375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,1,4096,17738951,4330.798583984375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,2,4096,16179781,3950.141845703125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,3,4096,16946850,4137.41455078125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,4,4096,17367937,4240.218994140625,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,5,4096,17863301,4361.157470703125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,6,4096,18264305,4459.058837890625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,0,4096,17623083,4302.510498046875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,1,4096,17924265,4376.041259765625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,2,4096,17706529,4322.883056640625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,3,4096,17481454,4267.93310546875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,4,4096,17692674,4319.50048828125,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,5,4096,17574790,4290.72021484375,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,6,4096,17581208,4292.287109375,-1.7132706642150879
manual_avx2,x86_64,Release,measurement,4096,0,32768,11282048,344.30078125,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,1,32768,11351227,346.41195678710938,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,2,32768,11059584,337.51171875,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,3,32768,11136674,339.86431884765625,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,4,32768,11010510,336.01409912109375,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,5,32768,11246282,343.20928955078125,-1.7132848501205444
manual_avx2,x86_64,Release,measurement,4096,6,32768,11258437,343.58023071289062,-1.7132848501205444
scalar,x86_64,Release,measurement,16384,0,1024,17728325,17312.8173828125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,1,1024,17748354,17332.376953125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,2,1024,17965107,17544.0498046875,0.89516866207122803
scalar,x86_64,Release,measurement,16384,3,1024,17520866,17110.220703125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,4,1024,17901685,17482.1142578125,0.89516866207122803
scalar,x86_64,Release,measurement,16384,5,1024,17888186,17468.931640625,0.89516866207122803
scalar,x86_64,Release,measurement,16384,6,1024,18195445,17768.9892578125,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,0,1024,17594302,17181.935546875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,1,1024,17781984,17365.21875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,2,1024,17532906,17121.978515625,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,3,1024,17770430,17353.935546875,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,4,1024,18003972,17582.00390625,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,5,1024,17122325,16721.0205078125,0.89516866207122803
compiler_optimized,x86_64,Release,measurement,16384,6,1024,16363840,15980.3125,0.89516866207122803
manual_avx2,x86_64,Release,measurement,16384,0,8192,15692971,1915.6458740234375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,1,8192,16213230,1979.154052734375,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,2,8192,16641943,2031.4871826171875,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,3,8192,15983505,1951.1114501953125,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,4,8192,16675805,2035.6207275390625,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,5,8192,15513687,1893.7606201171875,0.89510297775268555
manual_avx2,x86_64,Release,measurement,16384,6,8192,15978502,1950.500732421875,0.89510297775268555
scalar,x86_64,Release,measurement,65536,0,256,17090210,66758.6328125,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,1,256,17198917,67183.26953125,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,2,256,17281335,67505.21484375,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,3,256,17472273,68251.06640625,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,4,256,17401799,67975.77734375,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,5,256,17122602,66885.1640625,-0.18156573176383972
scalar,x86_64,Release,measurement,65536,6,256,17299654,67576.7734375,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,0,256,16509703,64491.02734375,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,1,256,17366096,67836.3125,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,2,256,17866489,69790.97265625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,3,256,17562996,68605.453125,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,4,256,16950312,66212.15625,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,5,256,17805830,69554.0234375,-0.18156573176383972
compiler_optimized,x86_64,Release,measurement,65536,6,256,19214188,75055.421875,-0.18156573176383972
manual_avx2,x86_64,Release,measurement,65536,0,1024,15575141,15210.0986328125,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,1,1024,15406004,15044.92578125,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,2,1024,15310281,14951.4462890625,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,3,1024,15463157,15100.7392578125,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,4,1024,15645592,15278.8984375,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,5,1024,15605584,15239.828125,-0.18182754516601562
manual_avx2,x86_64,Release,measurement,65536,6,1024,15599065,15233.4619140625,-0.18182754516601562
scalar,x86_64,Release,measurement,1048576,0,16,17839620,1114976.25,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,1,16,18054700,1128418.75,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,2,16,18244974,1140310.875,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,3,16,17903093,1118943.3125,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,4,16,18094714,1130919.625,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,5,16,17938166,1121135.375,-0.12181839346885681
scalar,x86_64,Release,measurement,1048576,6,16,17989070,1124316.875,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,0,16,17701906,1106369.125,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,1,16,17309822,1081863.875,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,2,16,17262055,1078878.4375,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,3,16,18116664,1132291.5,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,4,16,18400761,1150047.5625,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,5,16,18258336,1141146,-0.12181839346885681
compiler_optimized,x86_64,Release,measurement,1048576,6,16,18098159,1131134.9375,-0.12181839346885681
manual_avx2,x86_64,Release,measurement,1048576,0,64,16079259,251238.421875,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,1,64,15788867,246701.046875,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,2,64,15622380,244099.6875,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,3,64,15704696,245385.875,-0.12603211402893066
manual_avx2,x86_64,Release,measurement,1048576,4,64,15592111,243626.734375,-0.12603211402893066
