variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,15818710,241.37435913085938,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,16715161,255.05311584472656,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,15475931,236.14396667480469,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,15290059,233.30778503417969,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,15917068,242.87518310546875,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,16388228,250.06451416015625,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,15896273,242.55787658691406,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,16413772,250.45428466796875,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,15549066,237.25991821289062,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,16093880,245.5731201171875,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,14738276,224.88824462890625,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,15114648,230.6312255859375,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,15242144,232.57666015625,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,14675028,223.92315673828125,0.92307782173156738
manual_avx2,x86_64,Release,measurement,256,0,524288,14889243,28.398977279663086,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,11203878,21.369701385498047,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,10733164,20.471885681152344,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,524288,10800159,20.599668502807617,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,524288,12991188,24.778724670410156,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,524288,10593896,20.206253051757812,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,524288,10403395,19.842901229858398,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,16384,17908456,1093.04541015625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,16384,18449943,1126.0951538085938,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,16384,17707378,1080.7725830078125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,16384,17727440,1081.9970703125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,16384,18706797,1141.7722778320312,1.0209832191467285
scalar,x86_64,Release,measurement,1024,5,16384,17868645,1090.6155395507812,1.0209832191467285
scalar,x86_64,Release,measurement,1024,6,16384,17903363,1092.7345581054688,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,0,16384,16755019,1022.6452026367188,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,1,16384,16739850,1021.7193603515625,1.0209832191467285
