variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17518049,267.30421447753906,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17500953,267.04335021972656,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17528004,267.45611572265625,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17497077,266.98420715332031,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17507253,267.13948059082031,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17511990,267.21176147460938,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17505220,267.10845947265625,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,17509246,267.16989135742188,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,17534343,267.55284118652344,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,17505800,267.1173095703125,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,17504107,267.09147644042969,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,17505811,267.11747741699219,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,17507003,267.13566589355469,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,17507783,267.14756774902344,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,1048576,19335243,18.43952465057373,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,1,1048576,19326810,18.431482315063477,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,2,1048576,19313100,18.418407440185547,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,3,1048576,19300450,18.406343460083008,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,4,1048576,19285958,18.392522811889648,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,5,1048576,19318778,18.423822402954102,0.92307770252227783
compiler_reassociated,x86_64,Release,measurement,256,6,1048576,19246158,18.35456657409668,0.92307770252227783
manual_avx2,x86_64,Release,measurement,256,0,524288,9994727,19.06342887878418,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,9918391,18.917829513549805,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,9957661,18.992731094360352,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,524288,9930389,18.940713882446289,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,524288,9957561,18.99254035949707,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,524288,9935037,18.949579238891602,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,524288,9957391,18.992216110229492,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,8192,10098945,1232.7813720703125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,8192,10093387,1232.1029052734375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,8192,10098495,1232.7264404296875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,8192,10108420,1233.93798828125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,8192,10097653,1232.6236572265625,1.0209832191467285
