variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17684711,269.84727478027344,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17658131,269.44169616699219,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17681857,269.80372619628906,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17665633,269.55616760253906,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17672723,269.66435241699219,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17664111,269.53294372558594,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17687616,269.8916015625,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,16300604,248.72747802734375,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,16459645,251.15425109863281,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,16430411,250.70817565917969,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,16308666,248.85049438476562,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,16415658,250.48306274414062,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,16441137,250.87184143066406,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,16437241,250.81239318847656,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,11901637,22.700571060180664,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,1,524288,11834286,22.572109222412109,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,2,524288,11722896,22.359649658203125,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,3,524288,11781856,22.47210693359375,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,4,524288,11892904,22.683914184570312,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,5,524288,11770068,22.449623107910156,0.92307627201080322
compiler_reassociated,x86_64,Release,measurement,256,6,524288,11946014,22.785213470458984,0.92307627201080322
manual_avx2,x86_64,Release,measurement,256,0,524288,10278067,19.603857040405273,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,10333170,19.708957672119141,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,10352320,19.7454833984375,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,524288,10400532,19.837440490722656,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,524288,10370647,19.780439376831055,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,524288,10407503,19.850736618041992,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,524288,10337858,19.717899322509766,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,8192,10191356,1244.06201171875,1.0209832191467285
