variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17575746,268.18460083007812,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17588455,268.37852478027344,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17585882,268.33926391601562,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17585441,268.33253479003906,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17570769,268.10865783691406,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17573433,268.14930725097656,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17581495,268.27232360839844,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,17562016,267.97509765625,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,17571019,268.11247253417969,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,17595016,268.4786376953125,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,17591811,268.42973327636719,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,17584369,268.31617736816406,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,17581084,268.26605224609375,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,17588726,268.38265991210938,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,10516759,20.059125900268555,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,1,524288,10533574,20.091197967529297,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,2,524288,10517439,20.060422897338867,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,3,524288,10497379,20.022161483764648,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,4,524288,10354603,19.749837875366211,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,5,524288,10353050,19.746875762939453,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,6,524288,10274541,19.597131729125977,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,0,524288,9977831,19.03120231628418,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,9984232,19.043411254882812,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,9988628,19.051795959472656,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,524288,9994207,19.062437057495117,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,524288,9993465,19.06102180480957,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,524288,9997902,19.069484710693359,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,524288,10052685,19.173974990844727,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,8192,10108430,1233.939208984375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,8192,10107728,1233.853515625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,8192,10112295,1234.4110107421875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,8192,10103472,1233.333984375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,8192,10141200,1237.939453125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,5,8192,10100538,1232.975830078125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,6,8192,10114249,1234.6495361328125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,0,8192,10101799,1233.1297607421875,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,1,8192,10112916,1234.48681640625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,2,8192,10108280,1233.9208984375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,3,8192,10101199,1233.0565185546875,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,4,8192,10112285,1234.4097900390625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,5,8192,10111765,1234.3463134765625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,6,8192,10100758,1233.002685546875,1.0209832191467285
compiler_reassociated,x86_64,Release,measurement,1024,0,262144,20004828,76.312362670898438,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,1,262144,19911747,75.957286834716797,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,2,262144,20165431,76.925014495849609,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,3,262144,20137329,76.817813873291016,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,4,262144,19776863,75.442745208740234,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,5,262144,19661006,75.000785827636719,1.0209790468215942
compiler_reassociated,x86_64,Release,measurement,1024,6,262144,19704844,75.168014526367188,1.0209790468215942
manual_avx2,x86_64,Release,measurement,1024,0,262144,18803878,71.731101989746094,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,1,262144,18878721,72.016605377197266,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,2,262144,18977872,72.39483642578125,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,3,262144,19201741,73.248828887939453,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,4,262144,19219208,73.315460205078125,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,5,262144,19162962,73.100898742675781,1.0209798812866211
manual_avx2,x86_64,Release,measurement,1024,6,262144,19107148,72.887985229492188,1.0209798812866211
scalar,x86_64,Release,measurement,4096,0,2048,10460153,5107.49658203125,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,1,2048,10511150,5132.3974609375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,2,2048,10498851,5126.39208984375,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,3,2048,10456948,5105.931640625,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,4,2048,10463527,5109.14404296875,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,5,2048,10469247,5111.93701171875,-1.7132706642150879
scalar,x86_64,Release,measurement,4096,6,2048,10471480,5113.02734375,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,0,2048,10464930,5109.8291015625,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,1,2048,10464780,5109.755859375,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,2,2048,10457568,5106.234375,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,3,2048,10468506,5111.5751953125,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,4,2048,10477759,5116.09326171875,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,5,2048,10490528,5122.328125,-1.7132706642150879
compiler_optimized,x86_64,Release,measurement,4096,6,2048,10510349,5132.00634765625,-1.7132706642150879
