variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17665363,269.55204772949219,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17664061,269.53218078613281,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17668578,269.60110473632812,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17708027,270.20304870605469,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17654466,269.38577270507812,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17658872,269.4530029296875,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17649979,269.31730651855469,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,16562821,252.72859191894531,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,16687971,254.63822937011719,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,16594489,253.21180725097656,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,16557443,252.64653015136719,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,16662412,254.24822998046875,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,16632116,253.78594970703125,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,16628200,253.7261962890625,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,10901381,20.792734146118164,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,1,524288,10912819,20.814550399780273,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,2,524288,10918868,20.826087951660156,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,3,524288,10731994,20.469654083251953,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,4,524288,10937746,20.862094879150391,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,5,524288,10692204,20.393760681152344,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,6,524288,10693466,20.396167755126953,0.92307734489440918
manual_avx2,x86_64,Release,measurement,256,0,524288,10308924,19.662712097167969,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,10380381,19.799005508422852,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,10447323,19.926687240600586,0.92307698726654053
