variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17579702,268.24496459960938,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17627655,268.97666931152344,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17580193,268.25245666503906,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17606873,268.65956115722656,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17594976,268.47802734375,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17570548,268.10528564453125,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17573683,268.15312194824219,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,17576107,268.19010925292969,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,17599311,268.54417419433594,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,17607043,268.66215515136719,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,17577829,268.21638488769531,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,17583507,268.30302429199219,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,17571720,268.1231689453125,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,17571450,268.11904907226562,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,10132826,19.326831817626953,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,1,524288,10142150,19.344615936279297,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,2,524288,10385600,19.8089599609375,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,3,524288,10356776,19.753982543945312,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,4,524288,10381353,19.800859451293945,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,5,524288,10374572,19.787925720214844,0.92307698726654053
compiler_reassociated,x86_64,Release,measurement,256,6,524288,10387883,19.813314437866211,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,0,1048576,19893268,18.971698760986328,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,1048576,19744813,18.830121040344238,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,1048576,19754097,18.838974952697754,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,1048576,19734668,18.820446014404297,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,1048576,19784653,18.868115425109863,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,1048576,19533262,18.62837028503418,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,1048576,19506892,18.603221893310547,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,8192,10130293,1236.6080322265625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,8192,10117954,1235.101806640625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,8192,10102079,1233.1639404296875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,8192,10100347,1232.9525146484375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,8192,10103001,1233.2764892578125,1.0209832191467285
scalar,x86_64,Release,measurement,1024,5,8192,10107127,1233.7801513671875,1.0209832191467285
scalar,x86_64,Release,measurement,1024,6,8192,10126005,1236.0845947265625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,0,8192,10129020,1236.45263671875,1.0209832191467285
