variant,arch,build_type,mode,n,sample,iterations,elapsed_ns,ns_per_call,result
scalar,x86_64,Release,measurement,256,0,65536,17676816,269.726806640625,0.92307782173156738
scalar,x86_64,Release,measurement,256,1,65536,17640061,269.16596984863281,0.92307782173156738
scalar,x86_64,Release,measurement,256,2,65536,17640071,269.16612243652344,0.92307782173156738
scalar,x86_64,Release,measurement,256,3,65536,17654002,269.37869262695312,0.92307782173156738
scalar,x86_64,Release,measurement,256,4,65536,17678889,269.75843811035156,0.92307782173156738
scalar,x86_64,Release,measurement,256,5,65536,17685850,269.86465454101562,0.92307782173156738
scalar,x86_64,Release,measurement,256,6,65536,17638578,269.14334106445312,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,0,65536,16700558,254.83029174804688,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,1,65536,16732345,255.31532287597656,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,2,65536,16727898,255.24746704101562,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,3,65536,16674217,254.42835998535156,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,4,65536,16613466,253.50137329101562,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,5,65536,16559355,252.67570495605469,0.92307782173156738
compiler_optimized,x86_64,Release,measurement,256,6,65536,16639926,253.90512084960938,0.92307782173156738
compiler_reassociated,x86_64,Release,measurement,256,0,524288,10823922,20.644992828369141,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,1,524288,10840197,20.676034927368164,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,2,524288,10833827,20.663885116577148,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,3,524288,10654458,20.321765899658203,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,4,524288,10559685,20.141000747680664,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,5,524288,10437311,19.907590866088867,0.92307734489440918
compiler_reassociated,x86_64,Release,measurement,256,6,524288,10384222,19.806331634521484,0.92307734489440918
manual_avx2,x86_64,Release,measurement,256,0,524288,10330540,19.703941345214844,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,1,524288,10239474,19.530246734619141,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,2,524288,10179494,19.415843963623047,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,3,524288,10172022,19.401592254638672,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,4,524288,10169399,19.396589279174805,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,5,524288,10175788,19.408775329589844,0.92307698726654053
manual_avx2,x86_64,Release,measurement,256,6,524288,10215678,19.484859466552734,0.92307698726654053
scalar,x86_64,Release,measurement,1024,0,8192,10166284,1241.00146484375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,1,8192,10174075,1241.9525146484375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,2,8192,10168427,1241.2630615234375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,3,8192,10163149,1240.6187744140625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,4,8192,10167035,1241.0931396484375,1.0209832191467285
scalar,x86_64,Release,measurement,1024,5,8192,10162068,1240.48681640625,1.0209832191467285
scalar,x86_64,Release,measurement,1024,6,8192,10159513,1240.1749267578125,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,0,8192,9971942,1217.278076171875,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,1,8192,9984220,1218.77685546875,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,2,8192,9999093,1220.5924072265625,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,3,8192,9975547,1217.7181396484375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,4,8192,9972423,1217.3367919921875,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,5,8192,9985763,1218.9652099609375,1.0209832191467285
compiler_optimized,x86_64,Release,measurement,1024,6,8192,9999594,1220.653564453125,1.0209832191467285
compiler_reassociated,x86_64,Release,measurement,1024,0,131072,10574147,80.674339294433594,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,1,131072,10636671,81.151359558105469,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,2,131072,10563621,80.594032287597656,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,3,131072,10560245,80.568275451660156,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,4,131072,10556100,80.536651611328125,1.0209792852401733
compiler_reassociated,x86_64,Release,measurement,1024,5,131072,10656270,81.300888061523438,1.0209792852401733
